id	fcgr_row
CircleBaseV2_001148946	0
CircleBaseV2_002170938	1
CircleBaseV2_000639173	2
CircleBaseV2_000822283	3
CircleBaseV2_001903047	4
CircleBaseV2_002557734	5
CircleBaseV2_000385526	6
CircleBaseV2_002443312	7
CircleBaseV2_000430471	8
CircleBaseV2_002427938	9
CircleBaseV2_000879796	10
CircleBaseV2_002494213	11
CircleBaseV2_001829145	12
CircleBaseV2_001445718	13
CircleBaseV2_002430922	14
CircleBaseV2_001075819	15
CircleBaseV2_000583344	16
CircleBaseV2_002184030	17
CircleBaseV2_001352250	18
CircleBaseV2_002708926	19
CircleBaseV2_000860229	20
CircleBaseV2_000936141	21
CircleBaseV2_002749584	22
CircleBaseV2_002405774	23
CircleBaseV2_000681757	24
CircleBaseV2_002625911	25
CircleBaseV2_000459378	26
CircleBaseV2_002271494	27
CircleBaseV2_002100167	28
CircleBaseV2_001370733	29
CircleBaseV2_000415566	30
CircleBaseV2_002137095	31
CircleBaseV2_001261247	32
CircleBaseV2_001467779	33
CircleBaseV2_002739702	34
CircleBaseV2_002256853	35
CircleBaseV2_002208137	36
CircleBaseV2_001528538	37
CircleBaseV2_000504457	38
CircleBaseV2_002271004	39
CircleBaseV2_000557767	40
CircleBaseV2_001474515	41
CircleBaseV2_000668946	42
CircleBaseV2_000744197	43
CircleBaseV2_001667703	44
CircleBaseV2_001608994	45
CircleBaseV2_001849317	46
CircleBaseV2_002497102	47
CircleBaseV2_000089086	48
CircleBaseV2_001315972	49
CircleBaseV2_002894500	50
CircleBaseV2_002869484	51
eccDNABase_000807856	52
CircleBaseV2_002764778	53
eccDNABase_000575637	54
eccDNABase_000784946	55
eccDNABase_000796972	56
eccDNABase_000799331	57
CircleBaseV2_002823799	58
eccDNABase_000654123	59
CircleBaseV2_003043045	60
CircleBaseV2_002884007	61
CircleBaseV2_002786735	62
CircleBaseV2_000004984	63
CircleBaseV2_002764406	64
CircleBaseV2_003042717	65
CircleBaseV2_002857377	66
eccDNABase_000782632	67
CircleBaseV2_002881349	68
eccDNABase_000610563	69
eccDNABase_000783184	70
CircleBaseV2_003038180	71
CircleBaseV2_002758865	72
eccDNABase_000789280	73
CircleBaseV2_002851894	74
eccDNABase_000699469	75
eccDNABase_000775703	76
eccDNABase_000787432	77
CircleBaseV2_003040671	78
CircleBaseV2_002794791	79
eccDNABase_000685418	80
